Time_s,V_Normal,V_Fault,I_Normal,I_Fault,SOC_Normal_pct,SOC_Fault_pct,Flag_Voltage,Flag_Current,Flag_SOC
2807,4.08340049450277,3.93340049450277,0.574802997536989,0.574802997536989,90.9272105027996,82.9272105027996,0,0,0
2808,4.08336539894492,3.93336539894492,0.574798057283914,0.574798057283914,90.9240171665362,82.9240171665362,0,0,0
2809,4.08333030368918,3.93333030368918,0.574793117073364,0.574793117073364,90.9208238577185,82.9208238577185,0,0,0
2810,4.08329520873554,3.93329520873554,0.57478817690534,0.57478817690534,90.9176305763464,82.9176305763464,0,0,0
2811,4.083260114084,3.933260114084,0.574783236779842,0.574783236779842,90.9144373224194,82.9144373224194,0,0,0
2812,4.08322501973455,3.93322501973456,0.574778296696869,0.574778296696869,90.9112440959375,82.9112440959375,0,0,0
2813,4.08318992568721,3.93318992568721,0.57477335665642,0.57477335665642,90.9080508969004,82.9080508969004,0,0,0
2814,4.08315483194195,3.93315483194195,0.574768416658495,0.574768416658495,90.9048577253078,82.9048577253079,0,0,0
2815,4.08311973849879,3.93311973849879,0.574763476703095,0.574763476703095,90.9016645811596,82.9016645811596,0,0,0
2816,4.08308464535771,3.93308464535771,0.574758536790218,0.574758536790218,90.8984714644554,82.8984714644554,0,0,0
2817,4.08304955251871,3.93304955251871,0.574753596919864,0.574753596919864,90.8952783751951,82.8952783751951,0,0,0
2818,4.0830144599818,3.9330144599818,0.574748657092033,0.574748657092033,90.8920853133784,82.8920853133784,0,0,0
2819,4.08297936774697,3.93297936774697,0.574743717306724,0.574743717306724,90.888892279005,82.888892279005,0,0,0
2820,4.08294427581421,3.93294427581421,0.574738777563938,0.574738777563938,90.8856992720748,82.8856992720748,0,0,0
2821,4.08290918418353,3.93290918418353,0.574733837863673,0.574733837863673,90.8825062925875,82.8825062925875,0,0,0
2822,4.08287409285492,3.93287409285492,0.574728898205929,0.574728898205929,90.8793133405429,82.8793133405429,0,0,0
2823,4.08283900182838,3.93283900182838,0.574723958590706,0.574723958590706,90.8761204159406,82.8761204159406,0,0,0
2824,4.0828039111039,3.9328039111039,0.574719019018004,0.574719019018004,90.8729275187806,82.8729275187806,0,0,0
2825,4.08276882068149,3.93276882068149,0.574714079487823,0.574714079487823,90.8697346490625,82.8697346490625,0,0,0
2826,4.08273373056114,3.93273373056114,0.574709140000161,0.574709140000161,90.8665418067861,82.8665418067861,0,0,0
2827,4.08269864074285,3.93269864074285,0.574704200555018,0.574704200555018,90.8633489919512,82.8633489919512,0,0,0
2828,4.08266355122661,3.93266355122661,0.574699261152395,0.574699261152395,90.8601562045576,82.8601562045576,0,0,0
2829,4.08262846201243,3.93262846201243,0.574694321792291,0.574694321792291,90.8569634446049,82.8569634446049,0,0,0
2830,4.0825933731003,3.9325933731003,0.574689382474704,0.574689382474704,90.8537707120931,82.8537707120931,0,0,0
2831,4.08255828449021,3.93255828449021,0.574684443199636,0.574684443199636,90.8505780070217,82.8505780070217,0,0,0
2832,4.08252319618218,3.93252319618218,0.574679503967086,0.574679503967086,90.8473853293907,82.8473853293907,0,0,0
2833,4.08248810817618,3.93248810817618,0.574674564777052,0.574674564777052,90.8441926791997,82.8441926791997,0,0,0
2834,4.08245302047222,3.93245302047222,0.574669625629536,0.574669625629536,90.8410000564486,82.8410000564486,0,0,0
2835,4.08241793307031,3.93241793307031,0.574664686524536,0.574664686524536,90.837807461137,82.837807461137,0,0,0
2836,4.08238284597042,3.93238284597042,0.574659747462053,0.574659747462053,90.8346148932648,82.8346148932648,0,0,0
2837,4.08234775917257,3.93234775917257,0.574654808442085,0.574654808442085,90.8314223528317,82.8314223528317,0,0,0
2838,4.08231267267675,3.93231267267675,0.574649869464633,0.574649869464633,90.8282298398375,82.8282298398375,0,0,0
2839,4.08227758648296,3.93227758648296,0.574644930529696,0.574644930529696,90.8250373542819,82.8250373542819,0,0,0
2840,4.08224250059119,3.93224250059119,0.574639991637273,0.574639991637273,90.8218448961648,82.8218448961648,0,0,0
2841,4.08220741500144,3.93220741500144,0.574635052787365,0.574635052787365,90.8186524654858,82.8186524654858,0,0,0
2842,4.08217232971371,3.93217232971371,0.574630113979971,0.574630113979971,90.8154600622448,82.8154600622448,0,0,0
2843,4.082137244728,3.932137244728,0.57462517521509,0.57462517521509,90.8122676864414,82.8122676864414,0,0,0
2844,4.0821021600443,3.9321021600443,0.574620236492723,0.574620236492723,90.8090753380756,82.8090753380756,0,0,0
2845,4.08206707566262,3.93206707566262,0.574615297812869,0.574615297812869,90.8058830171469,82.8058830171469,0,0,0
2846,4.08203199158294,3.93203199158294,0.574610359175527,0.574610359175527,90.8026907236553,82.8026907236553,0,0,0
2847,4.08199690780527,3.93199690780527,0.574605420580697,0.574605420580697,90.7994984576004,82.7994984576004,0,0,0
2848,4.08196182432961,3.93196182432961,0.574600482028379,0.574600482028379,90.796306218982,82.796306218982,0,0,0
2849,4.08192674115594,3.93192674115594,0.574595543518572,0.574595543518572,90.7931140077999,82.7931140077999,0,0,0
2850,4.08189165828427,3.93189165828427,0.574590605051277,0.574590605051277,90.7899218240538,82.7899218240539,0,0,0
